iter	Accuracy	Logloss
0	0.9116148148	0.5325784599
1	0.9120592593	0.4255877865
2	0.9131259259	0.3566798408
3	0.9130074074	0.3105006805
4	0.9167407407	0.2783656851
5	0.9165037037	0.2575218676
6	0.9173037037	0.2424418884
7	0.9178666667	0.2322016921
8	0.9184	0.223049875
9	0.9186666667	0.2160013932
10	0.9188444444	0.2104406846
11	0.9192296296	0.2059587472
12	0.9193481481	0.2021132882
13	0.9209777778	0.1976471288
14	0.9216296296	0.1946559441
15	0.922637037	0.1923302538
16	0.9231111111	0.1897930409
17	0.9231111111	0.1879700228
18	0.9236444444	0.1863245051
19	0.9239703704	0.1846378597
20	0.9242666667	0.1833679785
21	0.9243851852	0.1820653705
22	0.9247407407	0.180697022
23	0.9247407407	0.1796701307
24	0.9249481481	0.1788705166
25	0.9249777778	0.177239165
26	0.9251555556	0.1764834652
27	0.9259851852	0.17569437
28	0.9259259259	0.1749519997
29	0.9263111111	0.1742286817
30	0.9262222222	0.1733307406
31	0.9265185185	0.1727196386
32	0.9271407407	0.1721081933
33	0.9269333333	0.1716277758
34	0.9274666667	0.1710802369
35	0.9272	0.1702469984
36	0.9273481481	0.1698965063
37	0.9272592593	0.1695183965
38	0.9273185185	0.1691662272
39	0.9276740741	0.1688072101
40	0.9276740741	0.1682805014
41	0.9279111111	0.1678799719
42	0.9280888889	0.1675641958
43	0.9280888889	0.1671571619
44	0.9285037037	0.1666657359
45	0.9288	0.1659013751
46	0.9289185185	0.1655534872
47	0.9291259259	0.1651914809
48	0.9291259259	0.1649538021
49	0.9291555556	0.1647253619
50	0.9293925926	0.1643356048
51	0.9294814815	0.16407806
52	0.9293333333	0.1638530033
53	0.929362963	0.1636188399
54	0.9295111111	0.1633719556
55	0.9294518519	0.1626026577
56	0.9297481481	0.1623419236
57	0.9298962963	0.161976761
58	0.9299555556	0.1618105332
59	0.9304	0.1614282427
60	0.9306074074	0.1610590209
61	0.9307851852	0.1608110428
62	0.9307555556	0.1604391031
63	0.9307259259	0.1603219411
64	0.9308740741	0.1602141411
65	0.9310222222	0.1598703513
66	0.9311111111	0.1596582221
67	0.9311407407	0.1593545567
68	0.9314962963	0.1591373892
69	0.9314962963	0.1590117989
70	0.9315851852	0.1588022523
71	0.9318222222	0.158620694
72	0.9318518519	0.1582815818
73	0.9319407407	0.1580129593
74	0.9320592593	0.1578681757
75	0.932237037	0.1576971383
76	0.9325333333	0.157516339
77	0.9325333333	0.1572007308
78	0.9325333333	0.1570113528
79	0.9326518519	0.1567548601
80	0.9327703704	0.1565250084
81	0.9329481481	0.1563193872
82	0.9330074074	0.15615588
83	0.9331259259	0.1558543219
84	0.9333333333	0.1557161356
85	0.9333333333	0.1555987601
86	0.9333925926	0.1554511983
87	0.9333037037	0.1553591231
88	0.9334222222	0.155205617
89	0.9335111111	0.1550212897
90	0.9336296296	0.1548764457
91	0.9337481481	0.1545896086
92	0.9341333333	0.1544029862
93	0.9341037037	0.1542636619
94	0.9341925926	0.1539885678
95	0.9343407407	0.1537756066
96	0.9344296296	0.1536825825
97	0.9345185185	0.1535288925
98	0.9343703704	0.1533386824
99	0.9345777778	0.1530778457
100	0.9349925926	0.1529177043
101	0.9350814815	0.1528012425
102	0.9351407407	0.1525452705
103	0.9352	0.1524037558
104	0.9351407407	0.1522408589
105	0.9352888889	0.1520991532
106	0.9354074074	0.151776588
107	0.9354962963	0.1516490496
108	0.9356444444	0.1514718272
109	0.9358222222	0.1512937289
110	0.9358518519	0.1510570746
111	0.9359407407	0.1509261539
112	0.9359703704	0.1507790599
113	0.9360296296	0.150673535
114	0.9360888889	0.150433555
115	0.9363555556	0.150183671
116	0.9364444444	0.1499164464
117	0.9364740741	0.149800694
118	0.9367111111	0.1496636057
119	0.9368888889	0.1494095416
120	0.9370962963	0.1492325048
121	0.9369777778	0.149122901
122	0.9371259259	0.1489482062
123	0.937362963	0.1488044132
124	0.937362963	0.1487335602
125	0.9372444444	0.1486107229
126	0.9374518519	0.1484934584
127	0.9377185185	0.148313296
128	0.9376888889	0.1481787599
129	0.9376	0.1480983507
130	0.9376	0.1480018586
131	0.9376296296	0.1479548726
132	0.9377481481	0.1476461252
133	0.9377777778	0.1475097599
134	0.9377777778	0.1474024362
135	0.9377185185	0.1472855691
136	0.9379259259	0.1471475735
137	0.9378666667	0.1470030854
138	0.9379259259	0.1469101286
139	0.9382518519	0.1466732225
140	0.9381925926	0.1466106777
