iter	Passed	Remaining
0	62	74945
1	128	77048
2	192	76800
3	255	76439
4	324	77492
5	383	76341
6	448	76416
7	510	76103
8	575	76200
9	644	76665
10	707	76425
11	769	76215
12	839	76627
13	905	76736
14	974	76953
15	1041	77076
16	1131	78744
17	1198	78703
18	1263	78531
19	1334	78708
20	1406	78954
21	1480	79284
22	1550	79369
23	1620	79409
24	1692	79547
25	1763	79611
26	1834	79702
27	1901	79607
28	1972	79636
29	2039	79550
30	2108	79508
31	2176	79445
32	2246	79453
33	2317	79475
34	2388	79507
35	2459	79517
36	2528	79472
37	2597	79436
38	2668	79450
39	2738	79424
40	2812	79506
41	2881	79444
42	2944	79236
43	3015	79237
44	3082	79123
45	3149	79008
46	3220	78998
47	3288	78924
48	3357	78862
49	3419	78637
50	3486	78551
51	3556	78513
52	3621	78377
53	3689	78298
54	3759	78269
55	3826	78173
56	3898	78178
57	3969	78156
58	4040	78131
59	4112	78145
60	4183	78109
61	4251	78032
62	4314	77868
63	4381	77771
64	4455	77803
65	4526	77765
66	4593	77673
67	4662	77623
68	4730	77541
69	4801	77517
70	4872	77477
71	4945	77480
72	5016	77448
73	5084	77365
74	5155	77333
75	5227	77319
76	5293	77204
77	5363	77157
78	5431	77072
79	5500	77013
80	5573	76992
81	5645	76973
82	5716	76934
83	5785	76860
84	5850	76742
85	5920	76697
86	5989	76629
87	6058	76554
88	6127	76494
89	6195	76412
90	6262	76324
91	6333	76282
92	6400	76184
93	6464	76066
94	6532	75987
95	6600	75911
96	6672	75871
97	6734	75726
98	6798	75611
99	6870	75573
100	6935	75470
101	7000	75362
102	7068	75285
103	7138	75232
104	7205	75144
105	7272	75059
106	7341	74991
107	7411	74935
108	7485	74928
109	7552	74838
110	7619	74754
111	7687	74683
112	7758	74636
113	7821	74510
114	7890	74446
115	7962	74407
116	8033	74359
117	8096	74238
118	8166	74184
119	8238	74145
120	8310	74104
121	8374	74001
122	8444	73937
123	8514	73882
124	8583	73814
125	8647	73706
