iter	Passed	Remaining
0	38	38594
1	81	40579
2	122	40772
3	165	41163
4	207	41341
5	250	41581
6	294	41838
7	339	42089
8	382	42122
9	425	42112
10	467	42046
11	509	41987
12	552	41927
13	594	41854
14	635	41741
15	677	41669
16	719	41621
17	762	41618
18	804	41530
19	845	41425
20	887	41389
21	928	41279
22	970	41231
23	1013	41207
24	1059	41305
25	1102	41301
26	1145	41274
27	1186	41193
28	1227	41095
29	1269	41036
30	1311	40993
31	1353	40953
32	1396	40933
33	1438	40876
34	1481	40833
35	1522	40763
36	1563	40683
37	1602	40568
38	1642	40479
39	1683	40398
40	1724	40335
41	1768	40336
42	1817	40455
43	1859	40403
44	1900	40326
45	1944	40327
46	1988	40310
47	2032	40320
48	2073	40241
49	2115	40190
50	2156	40126
51	2197	40053
52	2237	39983
53	2276	39882
54	2318	39827
55	2360	39798
56	2401	39722
57	2440	39641
58	2480	39562
59	2520	39480
60	2559	39399
61	2601	39352
62	2643	39316
63	2684	39261
64	2726	39219
65	2766	39149
66	2807	39097
67	2850	39061
68	2890	38998
69	2931	38952
70	2974	38914
71	3015	38868
72	3058	38832
73	3099	38787
74	3144	38779
75	3186	38744
76	3228	38705
77	3273	38689
78	3315	38654
79	3360	38641
80	3401	38590
81	3442	38538
82	3485	38512
83	3527	38470
84	3571	38442
85	3622	38499
86	3665	38464
87	3706	38415
88	3748	38368
89	3791	38340
90	3833	38294
91	3885	38343
92	3934	38374
93	3980	38367
94	4020	38304
95	4064	38272
96	4110	38264
97	4153	38228
98	4198	38213
99	4241	38173
100	4283	38130
101	4326	38092
102	4370	38058
103	4412	38017
104	4458	38006
105	4506	38008
106	4550	37980
107	4592	37933
108	4635	37893
109	4676	37839
110	4719	37802
111	4760	37745
112	4815	37798
113	4857	37751
114	4900	37708
115	4943	37671
116	4985	37626
117	5031	37611
118	5081	37620
119	5124	37578
120	5165	37526
121	5207	37478
122	5251	37441
123	5277	37286
124	5319	37236
125	5363	37206
126	5408	37176
127	5457	37179
128	5500	37139
129	5544	37105
130	5595	37117
131	5641	37096
132	5683	37050
133	5725	37000
134	5768	36961
135	5810	36914
136	5855	36886
137	5886	36770
138	5931	36743
139	5976	36713
140	6018	36667
141	6062	36629
142	6104	36585
143	6148	36550
144	6196	36535
145	6228	36432
146	6272	36400
147	6323	36404
148	6366	36359
149	6408	36314
150	6451	36273
151	6496	36240
152	6536	36184
153	6579	36145
154	6621	36098
155	6665	36064
156	6708	36019
157	6749	35970
158	6789	35912
159	6833	35875
160	6877	35838
161	6919	35792
162	6962	35753
163	6999	35678
164	7043	35642
165	7085	35600
166	7130	35566
167	7172	35518
168	7215	35477
169	7256	35426
170	7299	35389
171	7342	35347
172	7382	35291
173	7406	35159
174	7449	35117
175	7492	35078
176	7533	35027
177	7575	34985
178	7616	34935
179	7659	34891
180	7702	34850
181	7748	34827
182	7793	34794
183	7837	34757
184	7879	34711
185	7921	34666
186	7963	34624
187	8011	34601
188	8055	34567
189	8100	34532
